,formattedPrice,Neighborhood,Year Built
0,"$215,000.00",NAmes,1960
1,"$105,000.00",NAmes,1961
2,"$172,000.00",NAmes,1958
3,"$244,000.00",NAmes,1968
4,"$189,900.00",Gilbert,1997
5,"$195,500.00",Gilbert,1998
6,"$213,500.00",StoneBr,2001
7,"$191,500.00",StoneBr,1992
8,"$236,500.00",StoneBr,1995
9,"$189,000.00",Gilbert,1999
10,"$175,900.00",Gilbert,1993
11,"$185,000.00",Gilbert,1992
12,"$180,400.00",Gilbert,1998
13,"$171,500.00",Gilbert,1990
14,"$212,000.00",StoneBr,1985
15,"$538,000.00",StoneBr,2003
16,"$164,000.00",Gilbert,1988
17,"$394,432.00",StoneBr,2010
18,"$141,000.00",Gilbert,1951
19,"$210,000.00",NWAmes,1978
20,"$190,000.00",NWAmes,1977
21,"$170,000.00",NWAmes,1974
22,"$216,000.00",Somerst,2000
23,"$149,000.00",NAmes,1970
24,"$149,900.00",NAmes,1971
25,"$142,000.00",NAmes,1968
26,"$126,000.00",NAmes,1970
27,"$115,000.00",NAmes,1971
28,"$184,000.00",NAmes,1999
29,"$96,000.00",BrDale,1971
30,"$105,500.00",BrDale,1971
31,"$88,000.00",BrDale,1971
32,"$127,500.00",NPkVill,1977
33,"$149,900.00",NPkVill,1975
34,"$120,000.00",NPkVill,1975
35,"$146,000.00",NPkVill,1978
36,"$376,162.00",NridgHt,2009
37,"$306,000.00",NridgHt,2007
38,"$395,192.00",NridgHt,2009
39,"$290,941.00",NridgHt,2009
40,"$220,000.00",NridgHt,2005
41,"$275,000.00",NridgHt,2005
42,"$259,000.00",NridgHt,2005
43,"$214,000.00",NridgHt,2004
44,"$611,657.00",NridgHt,2009
45,"$224,000.00",NridgHt,2009
46,"$500,000.00",NridgHt,2003
47,"$320,000.00",NridgHt,2002
48,"$319,900.00",NridgHt,2005
49,"$205,000.00",NridgHt,2006
50,"$175,500.00",NridgHt,2003
51,"$199,500.00",Gilbert,2005
52,"$160,000.00",Blmngtn,2006
53,"$192,000.00",Blmngtn,2004
54,"$184,500.00",Gilbert,2004
55,"$216,500.00",Gilbert,2002
56,"$185,088.00",Gilbert,2004
57,"$180,000.00",Gilbert,2000
58,"$222,500.00",Gilbert,2001
59,"$333,168.00",NoRidge,1999
60,"$355,000.00",NoRidge,1998
61,"$260,400.00",NoRidge,1996
62,"$325,000.00",NoRidge,1994
63,"$290,000.00",NoRidge,1999
64,"$221,000.00",NoRidge,1998
65,"$410,000.00",NoRidge,1995
66,"$221,500.00",Somerst,2005
67,"$204,500.00",Somerst,2009
68,"$215,200.00",Somerst,2009
69,"$262,500.00",Somerst,2008
70,"$254,900.00",Somerst,2004
71,"$271,500.00",Somerst,2005
72,"$233,000.00",SawyerW,2004
73,"$181,000.00",SawyerW,2004
74,"$205,000.00",SawyerW,1994
75,"$143,000.00",SawyerW,1980
76,"$189,000.00",SawyerW,1992
77,"$99,500.00",SawyerW,1979
78,"$125,000.00",SawyerW,1984
79,"$194,500.00",SawyerW,1993
80,"$152,000.00",SawyerW,1984
81,"$171,000.00",SawyerW,1980
82,"$67,500.00",SawyerW,1920
83,"$112,000.00",Sawyer,1978
84,"$148,000.00",Sawyer,1961
85,"$138,500.00",Sawyer,1965
86,"$122,000.00",Sawyer,1967
87,"$133,000.00",Sawyer,1963
88,"$127,000.00",Sawyer,1962
89,"$169,000.00",Sawyer,1974
90,"$190,000.00",NoRidge,1992
91,"$362,500.00",NoRidge,1993
92,"$285,000.00",NoRidge,1992
93,"$260,000.00",Somerst,2004
94,"$190,000.00",Somerst,2004
95,"$155,000.00",Somerst,2004
96,"$151,000.00",Somerst,2004
97,"$149,500.00",Somerst,2004
98,"$152,000.00",Somerst,2005
99,"$222,000.00",Somerst,2009
100,"$177,500.00",Somerst,2000
101,"$177,000.00",Somerst,2000
102,"$155,000.00",Somerst,1999
103,"$147,110.00",Somerst,2003
104,"$267,916.00",Somerst,2010
105,"$254,000.00",Somerst,2000
106,"$155,000.00",Greens,1980
107,"$206,000.00",Greens,1978
108,"$130,500.00",Sawyer,1976
109,"$230,000.00",Somerst,2002
110,"$218,500.00",NWAmes,1967
111,"$243,500.00",NWAmes,1993
112,"$205,000.00",NWAmes,1977
113,"$212,500.00",NWAmes,1978
114,"$196,500.00",NWAmes,1988
115,"$197,500.00",NWAmes,1972
116,"$171,000.00",NWAmes,1971
117,"$142,250.00",NAmes,1966
118,"$143,000.00",NWAmes,1963
119,"$128,950.00",NAmes,1959
120,"$159,000.00",NAmes,1966
121,"$178,900.00",NAmes,1967
122,"$136,300.00",NAmes,1964
123,"$180,500.00",NAmes,1964
124,"$137,500.00",NAmes,1963
125,"$84,900.00",NAmes,1962
126,"$142,125.00",NAmes,1950
127,"$197,600.00",NAmes,1952
128,"$172,500.00",NAmes,1949
129,"$116,500.00",BrkSide,1958
130,"$76,500.00",BrkSide,1940
131,"$128,000.00",NAmes,1954
132,"$153,000.00",NAmes,1955
133,"$132,000.00",NAmes,1954
134,"$178,000.00",NAmes,1966
135,"$154,300.00",NAmes,1960
136,"$180,000.00",NAmes,1970
137,"$190,000.00",NAmes,1966
138,"$135,000.00",NAmes,1958
139,"$214,000.00",NAmes,2003
140,"$136,000.00",NAmes,1959
141,"$165,500.00",NAmes,1959
142,"$145,000.00",NAmes,1957
143,"$148,000.00",NAmes,1959
144,"$142,000.00",NAmes,1959
145,"$167,500.00",NAmes,1960
146,"$108,538.00",NAmes,1959
147,"$159,500.00",NAmes,1959
148,"$108,000.00",NAmes,1956
149,"$135,000.00",NAmes,1952
150,"$122,500.00",NAmes,1955
151,"$119,000.00",NAmes,1958
152,"$109,000.00",NAmes,1953
153,"$105,000.00",NAmes,1920
154,"$107,500.00",NAmes,1955
155,"$144,900.00",NAmes,1954
156,"$129,000.00",NAmes,1956
157,"$97,500.00",NAmes,1948
158,"$144,000.00",OldTown,1980
159,"$162,000.00",NAmes,1959
160,"$242,000.00",NAmes,1967
161,"$132,000.00",NAmes,1948
162,"$154,000.00",NAmes,1959
163,"$166,000.00",NAmes,1952
164,"$134,800.00",NAmes,1951
165,"$160,000.00",NAmes,1962
166,"$148,000.00",NAmes,1960
167,"$192,000.00",NAmes,1963
